Pic_id,Text,MetaphorOccurrence,Target,Source,SentimentCategory,text_ensure
892.jpg,本人21岁，去吃冷面，吃完结账，我喊：“大姐，结账！”那“大姐”噗地笑了，指了指旁边一个约20岁很漂亮的女孩，说：“我女儿都这么大了，你想想你得叫我什么？”我迟疑了一下：“妈？”,0,,,1,"错误。  
正确的图中文字如下：

本人21岁，去吃冷面，吃完结账，我喊：“大姐，结账！”那“大姐”噗地笑了，指了指旁边一个约20岁很漂亮的女孩，说：“我女儿都这么大了，你想想你得叫我什么？”我迟疑了一下：“妈？”"
893.jpg,一菌业人,1,生命,树,1,"图中的文字是错误的。正确的文字应该是：

**SAVE THE WATER**  
**WATER IS LIFE**

并且图中的公司信息是：

**WE TONGFONG IMAGE STOCK, SINCE COMPLIANCE WITH PRODUCING DIGITAL IMAGE FILE TRANSPARENCY BUSINESS IN 1992**"
894.jpg,饼文的期新风低碳环保出行污染减少空气,1,树叶,爱心,1,"错误。完整的图中文字是：

低碳环保出行 减少空气污染"
895.jpg,文明健康有你有我健康运动最文明修身养性终生行中共绵阳市委宣传部绵阳市精神文明建设办公室,0,,,1,"回答：正确。  
图片中文字为：  
文明健康 有你有我  
健康运动最文明  
修身养性终生行  
中共绵阳市委宣传部 绵阳市精神文明建设办公室"
896.jpg,环境与发展认真搞好污染源普查真实反映环境与发展全貌,0,,,1,"错误。  
正确的图中文字是：

环境与发展  
认真搞好污染源普查  
真实反映环境与发展全貌"
897.jpg,节能减排低碳生活,1,灯泡,人,1,"回答：错误  
正确的图中文字是：节能减排 低碳生活"
898.jpg,大师盛宴墙电视展任公司北京广电电视台,0,,,1,"错误。正确的图中文字是：  
“大师盛宴墙电视展任公司北京广电电视台”。"
899.jpg,保护环境，从我做起,1,环保,绿色,1,错误。正确的图中文字应为：“保护环境，从我做起”。
900.jpg,花好夜月圆 戴月共婵娟,1,安全套,月亮,1,"错误。  
正确的图中文字是：  
**花好夜月圆 戴月共婵娟**"
901.jpg,"绿色环保 从我做起  
保 / 护 / 环 / 境 / 低 / 碳 / 生 / 活",0,,,1,"错误。  
正确的图中文字是：  
绿色环保 从我做起  
保 / 护 / 环 / 境 / 低 / 碳 / 生 / 活"
902.jpg,明餐桌公约倡导文明用餐传承传统美德排除等侯不插队高语文明不粗安静就餐不宣啤残渣入盘不乱吐珍惜生命粮食不浪费注意营养美不展食餐桌公约侣导文明用餐代承传业美饰,1,爱心,食材,1,"错误。以下是图中文字的正确内容：

---

**文明 餐桌公约**  
**WENMING CANZHUO GONGYUE**  
倡导文明用餐 传承传统美德  

排除等候 不插队  
言语文明 不粗鲁  
安静就餐 不喧哗  
残渣入盘 不乱吐  
珍惜粮食 不浪费  
注意营养 不暴食  

---"
903.jpg,仅诚生活了生活配网哥西话,1,自行车,竹子,1,"The text in the image is incorrect. The correct text should be:

**低碳生活，竹生活！**"
904.jpg,光盘行动,1,蔬菜,图形,1,正确。
905.jpg,保护环境造福人类起维护我们赖以生存的地球共同建设我们美好的生态家园,0,,,1,"错误。图中文字应该是：

保护环境，造福人类  
一起维护我们赖以生存的地球，共同建设我们美好的生态家园。"
906.jpg,"优秀组织奖名单  
1. 东北林业大学  
2. 哈尔滨师范大学  
3. 哈尔滨海润国际文化传播股份有限公司",0,,,0,"错误。  
正确的图中文字应为：

优秀组织奖名单  
1. 东北林业大学  
2. 哈尔滨师范大学  
3. 哈尔滨海润国际文化传播股份有限公司"
907.jpg,"
“豹”未来  
2022辽宁飞豹少年男子篮球选拔营  

主办单位  
辽宁沈阳三生飞豹篮球俱乐部  

承办单位  
鲲汇世纪体育中心  ",0,,,0,"错误。

正确的图中文字如下：

---
“豹”未来  
2022辽宁飞豹少年男子篮球选拔营  

主办单位  
辽宁沈阳三生飞豹篮球俱乐部  

承办单位  
鲲汇世纪体育中心  

支持单位  
鲲睿体育  
耐克体育(中国)有限公司
---"
908.jpg,一滴清水一片绿地一个地球,1,水滴,地球,1,"错误。  
正确的图中文字是：  
一滴清水  
一片绿地  
一个地球"
909.jpg,禁止酒驾,1,车,酒瓶,0,"错误。  
正确的图中文字是：**禁止酒驾**。"
910.jpg,"志愿传递文明  
服务成就风采讲文明树新风 公益广告  
中宣部宣教局 文明办主办",1,志愿服务,爱心,1,"错误。  
正确的图中文字是：  

**志愿传递文明  
服务成就风采**

左上角还有文字：  
**讲文明树新风 公益广告  
中宣部宣教局 文明办主办**"
911.jpg,"低碳生活 绿色出行低碳出行
love carbon life  
绿色环保 | 从我做起 | 绿色出行 | 健康你我",1,低碳出行,自行车,1,"回答：错误。  
正确的图中文字是：低碳出行  

完整的图中文字为：  
**低碳生活 绿色出行**  
**低碳出行**  
love carbon life  
**绿色环保 | 从我做起 | 绿色出行 | 健康你我**"
912.jpg,关心创卫支持创卫参与创卫玉溪日报,0,,,0,"回答：正确。  
图中文字为：  
关心创卫  
支持创卫  
参与创卫  
玉溪日报 宣"
913.jpg,童传部,0,,,0,错误。图中文字应为“宣传部”，而不是“童传部”。
914.jpg,拒绝,0,,,0,"错误。  
完整的图中文字是：拒绝酒驾"
915.jpg,节能减排从我做起,0,,,1,"正确。  
图片中的文字是：节能减排 从我做起  
拼音：jié néng jiǎn pái cóng wǒ zuò qǐ  
英文翻译：ENERGY SAVING, STARTING FROM ME"
916.jpg,"正确的图中文字是：  
找回青色的“伊甸园”  
爱得其索",1,嘴,苹果,0,"错误。  
正确的图中文字是：  
找回青色的“伊甸园”  
爱得其索"
917.jpg,"

全世界每年有36万人死于交通事故  
其中有不少是在斑马线上  
“安全带”  
“天桥”、“地下通道”  
“减速线”  
以上这些救命工具  
不是用来看的  
请在你每一步迈出之前  
将它们正确使用。。。

“斑马”在脚下  ",1,动物,斑马线,0,"错误。  
正确的图中文字如下：

---

全世界每年有36万人死于交通事故  
其中有不少是在斑马线上  
“安全带”  
“天桥”、“地下通道”  
“减速线”  
以上这些救命工具  
不是用来看的  
请在你每一步迈出之前  
将它们正确使用。。。

“斑马”在脚下  
**DO NOT ONLY EXISTS IN THE FOOT**

---

你提供的“汉上卖村只健人交间斑马在即下”是错误的识别结果。"
918.jpg,节均用水海有水无法存活香菲州年最干单地区爱不分国界爱借水票从要数超,1,文字,水,1,"图中的文字是错误的。以下是正确的图中文字：

节约用水，滴水成冰，水源无法存活。  
非洲60年最干旱地区，爱不分国界，节约水资源，从你我做起。"
919.jpg,火一一惜水一爱水一节水一从我做起做设计节约用水滴水一片缘地一个地球生之原源水是生命之源浪费水就是拒杀自已的生命,0,,,1,"错误。完整的图中文字应为：

火一一惜水一爱水一节水一从我做起  
节约用水滴水一片缘地一个地球  
水是生命之源/浪费水就是剥夺自己生命的源泉"
920.jpg,拥抱大自然,1,茎,人,0,"错误。  
正确的图中文字是：

拥抱大自然  
Together We are"
921.jpg,文明健康绿色环保绿色出行低碳生活,1,脚印,叶子,1,"错误。  
正确的图中文字是：

“文明健康 绿色环保”公益广告  
绿色出行  
低碳生活  
青岛市精神文明建设委员会办公室"
922.jpg,"节电篇  
减少待机能耗，节约使用电能。若要冷气省电，温度适当设定好。  
电力是个宝，温度要计较。",1,灯泡,茎,1,"这段文字是错误的。正确的图中文字应该是：

节电篇  
减少待机能耗，节约使用电能。若要冷气省电，温度适当设定好。  
电力是个宝，温度要计较。"
923.jpg,"致敬最可爱的人  
快递员",1,画,手,1,"错误。正确的图中文字是：

致敬最可爱的人  
快递员"
924.jpg,水——人类赖以生存的生命之源,1,生命,绿植,0,"错误。  
正确的图中文字是：  
**水——人类赖以生存的生命之源**"
925.jpg,弘扬中国精神凝聚中国力量德有心者路,0,,,1,"错误。图片中的文字应为：

弘扬中国精神?凝聚中国力量

从左至右四张图中的文字分别是：
1. 美德入心者?福寿人常在
2. 桃李有礼?一身正气
3. 父母生养我?我至孝父母
4. 人信德?路坦途

原文“德有心者路.”不完整且有误。正确的应是“人信德?路坦途”。"
926.jpg,四川蒲江基地直发我们只种植四种水果,1,文字,橙子,0,"错误。  
正确的图中文字是：  

四川蒲江基地直发  
ONLY  
4  
我们只种植四种水果"
927.jpg,低碳生活简单生活拒绝浪费资源有限珍惜共有,1,灯泡,树,1,"错误。图中文字应为：

低碳生活  
+ 简单生活拒绝浪费  
+ 资源有限珍惜共享"
928.jpg,节能减推从我改起,1,环保,绿植,1,错误。图中文字应为：“节能减排 从我做起”。
929.jpg,"有时候，  
轻率点“赞”也是伤害  

用行动拒绝网络暴力",1,点赞,锯子,0,"错误。  
正确的图中文字是：

有时候，  
轻率点“赞”也是伤害  

用行动拒绝网络暴力"
930.jpg,"讲信用，要说到做到！
讲文明树新风，争做诚信文明人",0,,,1,"错误。

正确的图中文字是：

**讲信用，要说到做到！**  
讲文明树新风，争做诚信文明人"
931.jpg,"第一张图：
请节约用
请节约用水
节约，从点滴做起

第二张图：
每一元钱

第三张图：
一滴水

第四张图：
一度电

第五张图：
一滴油

第六张图：
一度电

第七张图：
一张纸",1,节约,束,1,"错误。

正确的图中文字是：
- 一元**钱**
- 一滴**水**
- 一度**电**
- 一张**纸**
- 一滴**油**
- 一度**电**
- 一张**纸**

因此，图片中文字包括但不限于“水、电、电、油”，且不完整，应该是“钱、水、电、纸、油、电、纸”等。"
932.jpg,,1,爱护,捧,1,"错误。  
图片中的文字是：“昵知网”，而不是“nan”。"
933.jpg,保护环境人人有责湿地国际联盟组织农历腊月十七星期五保护人湿地湿地之水水之湿地重庆江北花园新村环保展览湿地是生命之源世界湿地日二,0,,,1,"The text in the image is correct. Here's a transcription of the text from the image:

保护环境人人有责  
湿地国际联盟组织  
农历腊月十七星期五  
保护人湿地  
湿地之水，水之湿地  
重庆江北花园新村  
环保展览  
湿地是生命之源  
世界湿地日  

This matches what you have provided, and it is accurate."
934.jpg,保护洋保护海洋人人有责还海洋一片净土,0,,,1,"图片中的文字是错误的。正确的图中文字应该是：

保护海洋人人有责，还海洋一片净土！"
935.jpg,"今天的你  
足够坚持了吗？  

受得了攻击才承得起胜利 ",0,,,0,"错误。

正确的图中文字是：

今天的你  
足够坚持了吗？  
HAVE YOU WORKED HARD TODAY?  
受得了攻击才承得起胜利  
广东维信思创网络科技有限公司"
936.jpg,"
怪物力量",1,文字,动物,0,"错误。  
正确的图中文字如下：

---

**上部文字：**  
iQOO  
ZCOOL站酷  
Quest Quest Quest  
MONSTER POWER

**中部主要文字：**  
Q的强悍定义  
iQOO创意海报设计大赛

**右下角黄色区域文字：**  
参赛作品：《Q的强悍定义·野》  
站酷ID：抽象花儿

---"
937.jpg,同爱护我们呼公内家园五,1,爱护,捧,1,"错误。

正确的图中文字如下：

1. 左图文字：爱护我们的家园  
2. 中图文字：同呼吸 共奋斗  
3. 右图文字：节能环保 保护地球

原句“同爱护我们呼公内家园五”是错误的。"
938.jpg,珍爱生命少点二手烟对他她它都好禁烟宜传海报禁奇是指获坊和您治请晶递法吧量行为保护公民身心健康街护社会肤摩的工作或粉说运用行欢法令和阵公监街的力雕保使服食或注射路片和代用麻牌荆者玻伦宽购裂明和取柿种租收奖新道远输藏卖面品和尚具行为的一项牡会风信改法工作,0,,,0,"The text in the image contains multiple errors. The correct version of the text should be:

**珍爱生命，远离毒品。**
**吸烟危害健康，禁止吸烟。**
**禁烟宣传海报**

Please note the difference from the provided text, which includes unrelated or incorrect characters and phrases."
939.jpg,烟燃烧的是香烟消耗的是生命珍爱生命运离烟草,1,烟雾,头骨,-1,"错误。完整的图中文字应为：

烟燃烧的是香烟 消耗的是生命  
珍爱生命 远离烟草"
940.jpg,请勿宠物执邻宠物不抚邻生活共安宇,0,,,0,"错误。正确的图中文字应为：

请勿宠物扰邻，生活共安宁。"
941.jpg,"

**珍爱生命 远离香烟**  
戒烟保健康·吸烟折寿福  

?? 增加COPD发病  
?? 导致缺血性脑卒中  
?? 引发阻塞性肺病  

吸烟会引致多种脑部疾病，也会减低我们的循环脑部之氧气及血液，引致脑部血管出血及闭塞  

**吸烟有害健康**",1,拒绝,剪,0,"错误。

正确的图中文字如下：

---

**珍爱生命 远离香烟**  
戒烟保健康·吸烟折寿福  

?? 增加COPD发病  
?? 导致缺血性脑卒中  
?? 引发阻塞性肺病  

吸烟会引致多种脑部疾病，也会减低我们的循环脑部之氧气及血液，引致脑部血管出血及闭塞  

**吸烟有害健康**

---

底部小字：  
**全国统一免费服务热线：TEL:888-888888**  
**随 / 意 / 添 / 加**

---

你提供的文字中有部分缺失和错字，例如“卷珍爱生命爱生命远离香烟”、“州货添加”等，均为错误内容。"
942.jpg,请勿酒驾请勿酒驾请勿酒到请勿酒驾,1,骷髅,死亡,-1,"错误。  
正确的图中文字是：

**请勿酒驾**  
**珍爱生命 请勿酒驾**  
**PLEASE DON’T DRINK AND DRIVE**

错误示例中的“请勿酒到”是错误的。"
943.jpg,全国城市节水周为工提高市民节水意识从年开始每年月日所在的那一周为全国城市节水宣传周宣传意旨在动员广大市民共同关注水资源福造全社会的节水氰围树立绿色文明意识生态环境意识和可持续发展意识起珍惜水保护我们的资源城市,1,节水器,沙漏,1,"**错误。**以下是图片中完整且正确的文字内容：

---

**全国城市节水周**  
**NATIONAL URBAN WATER SAVING WEEK**

为了提高市民节水意识，  
从1992年开始，每年5月15日所在的那一周  
为“全国城市节水宣传周”。  
宣传意旨在动员广大市民共同关注水资源，  
营造全社会的节水氛围。  
树立绿色文明意识、生态环境意识和可持续发展意识。

一起珍惜水资源??保护我们的城市

--- 

请注意，原问题中的文字存在多处错字与缺漏。"
944.jpg,"正确的图中文字应为：
保护海洋 保护海洋环境 保护蓝色家园  
电话：400 8888888",0,,,1,"错误。

正确的图中文字应为：
保护海洋 保护海洋环境 保护蓝色家园  
电话：400 8888888"
945.jpg,超强吸力 让油烟无机可乘 干净 利落 优美,1,烟雾,猪,0,"错误。  
正确的图中文字是：  
**“超强吸力 让油烟无机可乘 干净 利落 优美”**"
946.jpg,"请不要拿走那一块  
请注意我们的动物伙伴",1,猩猩,拼图,-1,"错误。正确的图中文字是：

请不要拿走那一块  
请注意我们的动物伙伴"
947.jpg,酸生活绿色环保文明出行,1,车轮,城市,1,"错误。图中文字应该是：

**低碳生活 绿色环保 文明出行**"
948.jpg,"

**世界环境日**  
**WORLD ENVIRONMENT DAY**  
**保护环境 从我做起**  
**06·05**

---



- “觅知网”  
- “WU YI LAO DONG JIE”  
- “保护环境 人人有责",1,地球,树叶,1,"错误。  
正确的图中文字如下：

---

**世界环境日**  
**WORLD ENVIRONMENT DAY**  
**保护环境 从我做起**  
**06·05**

---

顶部和角落的辅助文字包括：

- “觅知网”  
- “WU YI LAO DONG JIE”  
- “保护环境 人人有责”  

图中文字并非“觅世界环境日元世界环境日保护环境从我做起宽知”。"
949.jpg,十十减护我们的地球环保低碳,1,地球,书,1,"错误。完整的图中文字应为：

""环境保护  
保护我们的地球  
环保低碳"""
950.jpg,垃圾博物馆,0,,,1,"错误。  
正确的图中文字是：“垃圾博物馆”。"
951.jpg,如果表演的是我们拒绝动物表演,1,文字,人,0,"错误。  
正确的图中文字是：  
**“如果表演的是我们。。。”**"
952.jpg,讲文明树新风东坡有礼光盘行动厉行节俭文明用餐,0,,,1,正确
953.jpg,市能酒排低蕨生活节能海排低盟生活节能酒排低壁生活节能福排低麟生活节维减排低腹生活合理使川空酒健身节能节能酒排低重生活节能福排低壁生活节能减排挂图本套张可开发票,0,,,1,"回答：错误。

图中文字存在多处识别错误，以下是每张图的正确文字标题内容（共11张）：

1. 节能减排 低碳生活  
   **使用节能电器**

2. 节能减排 低碳生活  
   **节约用水点点滴滴**

3. 节能减排 低碳生活  
   **夏天高温 勿忘节能**

4. 节能减排 低碳生活  
   **空调节能有妙招**

5. 节能减排 低碳生活  
   **选择节能灯具**

6. 节能减排 低碳生活  
   **健康 节能**

7. 节能减排 低碳生活  
   **合理使用空调**

8. 节能减排 低碳生活  
   **什么是节能减排**

9. 节能减排 低碳生活  
   **多步行 多骑车**

10. 节能减排 低碳生活  
    **减少一次性用品使用**

11. 节能减排 低碳生活  
    **绿色生活 从我做起**

底部红黄条幅内容为：  
**节能减排挂图 本套29张 可开发票**"
954.jpg,一海清水一片绿地一个地球点海珍惜生命,1,水,树,1,"错误。  
图中文字为：  
一滴清水  
一片绿地  
一个地球  
点滴珍惜  

你提供的文字是：“一海清水一片绿地一个地球点海珍惜生命”，与图中文字不符。"
955.jpg,,0,,,0,"回答：错误  
正确的图中文字是：罔知网"
956.jpg,"保护野生动物  
重任在肩  
保护动物 人人有责 没有买卖 没有杀害  
别让动物无家可归",0,,,1,"错误。

正确的图中文字如下：

保护野生动物  
重任在肩  
保护动物 人人有责 没有买卖 没有杀害  
IT IS EVERYONE'S DUTY TO PROTECT ANIMALS WITHOUT BUYING, SELLING OR KILLING THEM.  
别让动物无家可归"
957.jpg,"
禁止酒驾，珍爱生命，请勿酒驾。",0,,,-1,"错误。正确的图中文字应该是：

禁止酒驾，珍爱生命，请勿酒驾。"
958.jpg,谁知盛中餐地粒皆车苦粮食饭日食珍信银食,0,,,1,"图片中的文字是错误的。正确的文字应该是：

“谁知盘中餐，粒粒皆辛苦。”"
959.jpg,：拒绝酒后驾车,1,车,酒,0,"错误。  
正确的图中文字是：拒绝酒后驾车"
960.jpg,世界水日,0,,,1,"错误。  
正确的图中文字是：“世界水日”。"
961.jpg,川承设计,1,汽车,绿叶,1,"错误。  
正确的图中文字是：“川承设计”。

你提供的识别为“川市就”，不正确。"
962.jpg,人像摄影大师,0,,,0,"错误。  
正确的图中文字是：人像摄影大师"
963.jpg,被囚禁在黑暗中一个月。,0,,,0,"错误。  
正确的图中文字是：  
一か月間、暗闇に監禁した。"
964.jpg,"请勿吸烟  

为了您和他人的健康  ",1,禁止吸烟标志,烟雾,1,"错误。  
正确的图中文字如下：

---

**WWW.REDOCN.COM**  
请勿吸烟  
**NO SMOKING**  
为了您和他人的健康  
红动中国原创素材  
编号：28715（图片114素材网 www.tupian114.com）  
www.redocn.com | 原创非商业素材 | 独家出售，禁止转载

---"
965.jpg,一幸福加倍公勺公筷 远离病毒,0,,,0,"错误。  
图片中的完整文字为：

```
文明用餐  
多一双筷 少一分病

减少传染病传播风险 保护家人  
减少疾病交叉感染 体现文明  
共建卫生城市 幸福加倍

公勺公筷 远离病毒  
Keep chopsticks away from viruses  
文明用餐 从我做起

文明健康 有你有我
```

请注意纠正。"
966.jpg,"为爱专注 为家守护、  
世界在变，唯一不变的是999感冒灵的保护",1,防护,盾牌,1,"错误。

正确的图中文字是：

**为爱专注 为家守护**  
**世界在变，唯一不变的是999感冒灵的保护**"
967.jpg,"珍爱生命请勿酒驾【醉（罪）在酒中毁（悔）在杯中】

酒后驾驶是对自己、他人、家庭及社会的不负责任行为。为了您和他人的安全，请勿酒后驾车。",1,路,酒,0,"错误。  
正确的图中文字是：

**珍爱生命 请勿酒驾**  
【醉（罪）在酒中毁（悔）在杯中】

酒后驾驶是对自己、他人、家庭及社会的不负责任行为。为了您和他人的安全，请勿酒后驾车。"
968.jpg,话,1,香烟,包,0,"The text in the image is correct. It reads:  
**""WHAT WOULD YOU RATHER PUT AWAY: YOUR CIGARETTE OR YOUR DREAMS?""**"
969.jpg,楼,1,低碳环保,绿色,1,"错误。  
图片中的文字是：“GREEN CONCEPT”、“ECOLOGY”。  
没有“楼”字。"
970.jpg,喝酒不开车开车不喝酒水东店官方批信公众平色中国广东茂名市电白区水东迎宾大道号六稻珠宝创意产业园,1,交通灯,酒瓶,0,"错误。你提供的文字不完全正确，以下是图片中的完整中文文字：

---

**喝酒不开车  
开车不喝酒**

---

**地址（ADD）：**  
中国·广东茂名市电白区水东迎宾大道288号小瑛珠宝创意产业园

---

请根据以上内容进行修正。"
971.jpg,保护环境节能降碳绿色发展简约适度绿色低碳,1,地球,灯泡,0,回答：正确。
972.jpg,"人类与自然共存  
维护生态平衡",1,灭绝,化石,0,"错误。  
正确的图中文字是：  
人类与自然共存  
维护生态平衡"
973.jpg,eco,1,烟,文字,0,"错误。  
完整的图中文字是：  
eco  
千图网ID  
wf1986"
974.jpg,济南蝶变旅游,1,城市,蝴蝶,0,"错误。  
正确的图中文字是：**济南·蝶变**  
下面还有一行小字：**旅游**"
975.jpg,燕之屋“用心做好每一碗碗燕窝，与你共享自然滋养”,1,食物,燕子窝,1,"错误。  
正确的图中文字是：燕之屋 YAN PALACE  
图中文字还包括：  
“用心做好每一碗碗燕窝，与你共享自然滋养”"
976.jpg,节能减排宣传画系列本套共张全部大图标价为每张单价节能戏排节能减排节能玻排减少民气排放还世界绿色福环利用一切可再生资源播环利用一切可再生资源保护环境保护环境节约用电关系到每个人每个家庭关爱世界关爱全人类让爱心从这里成长,1,低碳环保,绿色,1,"回答：错误。

以下是图中每张宣传画的正确文字：

---

**第一张（左上）：**  
节能减排  
减少碳气排放，让世界绿色  

**第二张（上中）：**  
节能减排  
循环利用一切可再生资源  

**第三张（右上）：**  
节能减排  
循环利用一切可再生资源  

**第四张（左下）：**  
保护环境  
关系到每个人、每个家庭  

**第五张（中下）：**  
保护环境  
关爱世界，关爱全人类  

**第六张（右下）：**  
节约用电  
让爱心从这里成长  

---

错误之处包括：  
- “节能戏排”、“节能玻排”等为识别错误，正确应为“节能减排”。  
- “减少民气排放”应为“减少碳气排放”。  
- 多处重复或语句残缺。"
977.jpg,"
疫情未结束  
管控不放松  

“码”上防控  
守护你我安全底线  

扫码亮码  
出行更无忧",1,健康码,安全带,1,"错误。  
正确的图中文字是：

疫情未结束  
管控不放松  

“码”上防控  
守护你我安全底线  

扫码亮码  
出行更无忧"
978.jpg,更多作品请往往下看节约用纸节约用纸请节约用纸请节约用纸节约用纸节约用纸,1,植物,纸张,1,"错误。  
正确的图中文字如下：

---

节约用纸  
Save paper  
请 / 节 / 约 / 用 / 纸  
QINGMING FESTIVAL IS A TRADITIONAL CHINESE FESTIVAL  
节约用纸  

来源：www.nipic.com  
By: | No:20180426000207992002  

---

请注意：“更多作品请往往下看”是错误的，应为“更多作品请往下看”。"
979.jpg,管好你的鸟儿,0,,,1,"错误。  
正确的图中文字是：《管好你的鸟儿》"
980.jpg,精光,1,时间,沙漏,1,"错误。  
图片中的正确文字是：珍惜时光。"
981.jpg,有时间做志愿者有困难找志愿者,0,,,1,"错误。  
正确的图中文字是：

有时间做志愿者  
有困难找志愿者  

如东县融媒体中心 宣"
982.jpg,珍惜生命拒绝酒驾,0,,,0,"回答：错误  
正确的图中文字是：  
珍惜生命  
Cherish life refused to drunk driving  
拒绝酒驾"
983.jpg,低碳生活 从我做起减少使用一次性用品 选择绿色环保材质,1,环保,餐盘,1,"错误。  
正确的图中文字是：  
**低碳生活 从我做起**  
**减少使用一次性用品 选择绿色环保材质**"
